reference.x,reference.y,z,yaw,speed,curvature,accumulated_path_length,drivable_width,reference.speed,reference.drivable_width
0.0252,-0.0924,0,-1.5788,0.491381,-0.155409,0,0,1,2
0.0235746,-0.295582,0,-1.57829,0.490839,-0.155409,0.203189,0,1,2
0.0220523,-0.498766,0,-1.5783,0.490263,-0.155409,0.406378,0,1,2
0.0205284,-0.701949,0,-1.5783,0.489651,-0.155409,0.609567,0,1,2
0.0190037,-0.905132,0,-1.57882,0.489001,-0.155409,0.812756,0,1,2
0.0173739,-1.10831,0,-1.57826,0.488309,-0.155409,1.01594,0,1,2
0.0158568,-1.3115,0,-1.5783,0.487575,-0.155409,1.21913,0,1,2
0.0143321,-1.51468,0,-1.57831,0.486794,-0.155409,1.42232,0,1,2
0.0128052,-1.71786,0,-1.57883,0.485964,-0.155409,1.62551,0,1,2
0.0111739,-1.92105,0,-1.57824,0.485081,-0.155409,1.8287,0,1,2
0.00966053,-2.12423,0,-1.5783,0.484144,-0.155409,2.03189,0,1,2
0.00813666,-2.32741,0,-1.57833,0.483146,-0.154512,2.23508,0,1,2
0.00660615,-2.5306,0,-1.57882,0.482081,-0.156838,2.43827,0,1,2
0.00497589,-2.73378,0,-1.57823,0.480943,-0.160848,2.64146,0,1,2
0.00346504,-2.93696,0,0,0.479756,-0.163638,2.84464,0,1,2
0.00346504,-2.93696,0,0,0,-0.163638,2.84464,0,1,2
0.00346504,-2.93696,0,-2.80135,0,-0.163638,2.84464,0,1,2
-0.450168,-3.09755,0,-1.80943,0.459164,0.130334,3.32586,0,1,2
-0.493161,-3.27428,0,-1.48908,0.474468,0.154576,3.50775,0,1,2
-0.473054,-3.5198,0,-1.59825,0.473168,0.136669,3.75409,0,1,2
-0.478629,-3.72282,0,-1.56335,0.471746,0.138029,3.95718,0,1,2
-0.477114,-3.92624,0,-1.61684,0.46996,0.134984,4.16061,0,1,2
-0.486465,-4.12916,0,-1.64594,0.468074,0.137822,4.36374,0,1,2
-0.501725,-4.33185,0,-1.625,0.466034,0.143965,4.56701,0,1,2
-0.512733,-4.53474,0,-1.61713,0.46393,0.147599,4.77019,0,1,2
-0.522144,-4.73771,0,-1.6174,0.461159,0.126044,4.97339,0,1,2
-0.53161,-4.94068,0,-1.61196,0.458952,0.10915,5.17658,0,1,2
-0.539972,-5.1437,0,-1.61133,0.444585,0.00375458,5.37977,0,1,2
-0.548205,-5.34672,0,-1.60493,0.453911,-0.00465309,5.58296,0,1,2
-0.555139,-5.54979,0,-1.59563,0.451035,0.00287893,5.78614,0,1,2
-0.560184,-5.75292,0,-1.6028,0.448017,0.00526967,5.98934,0,1,2
-0.566686,-5.956,0,-1.60761,0.444739,0.00920024,6.19252,0,1,2
-0.574164,-6.15906,0,-1.60707,0.441284,0.00946603,6.39571,0,1,2
-0.581532,-6.36211,0,-1.60946,0.437591,0.0080265,6.5989,0,1,2
-0.589386,-6.56515,0,-1.61068,0.433665,0.00575402,6.80209,0,1,2
-0.597488,-6.76818,0,-1.61057,0.429494,0.00300699,7.00528,0,1,2
-0.605568,-6.97121,0,-1.60992,0.425068,0.0013848,7.20847,0,1,2
-0.613515,-7.17424,0,-1.61035,0.420358,0.00320882,7.41166,0,1,2
-0.621549,-7.37727,0,-1.58953,0.415351,0.00525988,7.61485,0,1,2
-0.625353,-7.58036,0,-1.54443,0.410036,0.00635993,7.81797,0,1,2
-0.619994,-7.78356,0,-1.56244,0.404373,0.00359051,8.02125,0,1,2
-0.618297,-7.98674,0,-1.59297,0.398366,0.00138664,8.22443,0,1,2
-0.622802,-8.1899,0,-1.59743,0.391982,0.00152458,8.42764,0,1,2
-0.628212,-8.39299,0,-1.64011,0.385193,0.00235681,8.63081,0,1,2
-0.642284,-8.59568,0,-1.66002,0.377934,0.00935241,8.83398,0,1,2
-0.6604,-8.79819,0,-1.63669,0.370208,0.019694,9.0373,0,1,2
-0.673778,-9.00089,0,-1.57085,0.362099,0.0276044,9.24045,0,1,2
-0.673788,-9.20415,0,-1.56773,0.353457,0.0216555,9.4437,0,1,2
-0.673166,-9.4074,0,-1.5518,0.344181,0.0110376,9.64695,0,1,2
-0.669307,-9.61056,0,-1.54948,0.334472,0.00674811,9.85015,0,1,2
-0.664975,-9.81371,0,-1.56684,0.324084,0.00716434,10.0533,0,1,2
-0.664172,-10.0169,0,-1.57554,0.313027,0.00653003,10.2565,0,1,2
-0.665135,-10.2201,0,-1.5709,0.301273,0.00498955,10.4597,0,1,2
-0.665156,-10.4233,0,-1.52867,0.288435,0.0273659,10.6629,0,1,2
-0.656602,-10.6262,0,-1.49932,0.274584,0.0646956,10.866,0,1,2
-0.642084,-10.829,0,-1.50201,0.258185,0.136171,11.0693,0,1,2
-0.628112,-11.0318,0,-1.65324,0.241021,0.23161,11.2726,0,1,2
-0.644792,-11.2337,0,-1.74057,0.222965,0.348416,11.4752,0,1,2
-0.679294,-11.4349,0,-1.60105,0.213478,0.348416,11.6794,0,1,2
-0.685433,-11.6378,0,-1.54616,0.195492,0.348416,11.8823,0,1,2
-0.680416,-11.8414,0,-1.58408,0.176308,0.348416,12.086,0,1,2
-0.683115,-12.0445,0,-1.58932,0.155964,0.348416,12.2891,0,1,2
-0.686879,-12.2477,0,-1.07831,0.13434,0.348416,12.4923,0,1,2
-0.590953,-12.4265,0,-0.429125,0.111392,0.348416,12.6952,0,1,2
-0.431181,-12.4996,0,0.176008,0.0903591,0.348416,12.8709,0,1,2
-0.203347,-12.459,0,0.168048,0.0609103,0.348416,13.1023,0,1,2
0.0232454,-12.4206,0,0.0172396,0.0295674,0.348416,13.3322,0,1,2
0.2264,-12.4171,0,0.0172396,0,0.348416,13.5353,0,1,2
